"Symbol";"Value";"Unit";
"TraceParts.PartNumber";"10-07112019-015511";"";
"REFERENCE";"22-27-2031";"";
"rs_stock_number";"4838477";"";
"TraceParts.PartTitle";"Molex KK 254 6410, 3 Way, 1 Row, Straight PCB Header";"";
"SUPPLIER_NAME";"RS Components";"";
"Buy_Now";"https://uk.rs-online.com/web/p/products/4838477?cm_mmc=en-ds-_-mcad-_-traceparts-_-4838477'";"";
"SUPPLIER";"Molex";"";
"DESIGN";"Molex KK 254 6410, 3 Way, 1 Row, Straight PCB Header";"";
"TraceParts.InstanceId";"10-07112019-015511EO87QSMV6HWHMZIUXISV14WFZ";"";
"TRACEPARTS";"TRACEPARTS";"";
"TraceParts.PartLanguage";"en";"";
"TraceParts.PartVersion";"1.0.6";"";
